# productos.csv - Archivo de productos Fase 2 EDD S1 2026
,

SucursalID,Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
S026,Helado 334,I3ERUWFWS4B,Panaderia,2025-04-17,Maseca,95.52,83
S004,Galletas 565,THGCHUPZC490,Verduras,2025-02-19,Sabritas,414.54,138
S004,Helado 456,MT31OUVIUO,Snacks,2026-01-02,Nestle,250.43,11
S024,Refresco 779,E96YCQYDKD467,Limpieza,2027-01-02,Sabritas,77.49,194
S029,Leche 718,IXQ59D4IH4,Snacks,2025-03-01,Nestle,479.34,60
S022,Jabon 789,8U0PSV5QOTK5A,Panaderia,2025-01-01,PepsiCo,9.37,169
S029,Pollo 523,Y2F8NQRZ1G3,Limpieza,2026-05-28,Unilever,429.71,83
S011,Detergente 795,819R02SSO5N0,Congelados,2027-11-10,Unilever,140.77,27
S005,Manzana 369,H3WVUS48EY,Snacks,2026-03-21,Lala,34.94,133
S024,Acondicionador 597,DZCQW4B0FO94C,Lacteos,2025-01-13,PepsiCo,23.98,164
S026,Helado 838,W3TYCT9NZGRT,Verduras,2026-08-08,CocaCola,245.57,112
S019,Papas 756,OD2XXXL8PSM,Carnes,2026-06-26,CocaCola,469.61,89
S022,Manzana 852,SQKI7RYKGAKP,Congelados,2027-10-14,Maseca,438.9,27
S022,Naranja 825,R66N5P1AV8P5,Higiene,2025-10-03,Maseca,168.65,96
S022,Helado 613,MFQ6FRKMD6,Frutas,2025-03-11,Maseca,350.09,122
S019,Pollo 522,IZV77D96DCMQO,Bebidas,2025-09-12,Kelloggs,119.14,180
S002,Pizza 976,GUHMK0TSNQX,Carnes,2025-09-16,Sabritas,367.45,186
S014,Pizza 474,NERK280LR0,Carnes,2025-01-01,Kelloggs,128.67,154
S027,Leche 434,80YPVZIL79,Verduras,2026-10-19,Sabritas,94.43,103
S016,Carne 156,BBG98RUS3P6,Congelados,2025-10-15,Nestle,72.12,95
S015,Zanahoria 108,7617EZ8SAKP,Limpieza,2026-12-11,PepsiCo,326.47,143
S022,Brocoli 880,ZY2BZPN2E73,Verduras,2026-04-21,Colgate,235.26,64
S018,Helado 698,DYASALDJEYS13,Verduras,2027-12-17,CocaCola,386.37,111
S013,Papas 728,9HBH6DTSV7VSS,Snacks,2025-05-15,PepsiCo,449.59,137
S003,Galletas 2,12JK6I63OQOMZ,Lacteos,2025-04-10,Nestle,266.83,25
S010,Shampoo 97,1HPCAP5KBYKDH,Lacteos,2026-09-16,Unilever,347.0,88
S028,Papas 958,5U34IXUFHO,Panaderia,2025-07-22,Maseca,190.11,195
S010,Galletas 44,T5N46INY4M,Limpieza,2027-10-01,Maseca,460.49,176
S028,Pizza 434,GV48DRHMHTG81,Verduras,2026-10-02,PepsiCo,212.22,109
S013,Papas 192,2T33SZE1HU,Snacks,2025-07-04,PepsiCo,256.22,177
S012,Detergente 654,OX7X1RR6QBL,Panaderia,2026-01-02,Unilever,370.8,45
S016,Pollo 374,8Z7TICRVJPRL,Bebidas,2027-12-22,Sabritas,499.74,167
S004,Manzana 858,KALOTI9KPP,Bebidas,2027-01-24,Kelloggs,79.95,48
S005,Tortilla 512,U85HLVBBN8D,Higiene,2027-09-08,Nestle,468.51,96
S014,Detergente 832,CLXB1AG5B5FN,Frutas,2027-11-06,Unilever,134.58,126
S003,Helado 491,Y4N0DHC4GQL,Frutas,2026-03-20,Sabritas,202.53,136
S015,Tortilla 538,PW6XULKQRS7,Lacteos,2025-11-10,Kelloggs,201.26,153
S008,Carne 577,RAZE38I47P,Verduras,2025-10-12,Colgate,397.83,116
S021,Naranja 860,A9MU7W7061SIW,Bebidas,2025-04-26,Maseca,402.51,177
S004,Jabon 439,6F9QCTPGVJ,Verduras,2025-06-12,Maseca,473.44,37
S020,Yogurt 968,6PYRJP42KSTY,Verduras,2025-04-01,Kelloggs,66.37,16
S030,Brocoli 436,QNKQVIFIEFP1,Limpieza,2027-08-08,Kelloggs,206.16,181
S005,Tortilla 669,VDLWXCBUH0CF,Bebidas,2027-01-23,Bimbo,163.28,111
S011,Helado 231,G3O5X8GIVI,Congelados,2025-05-06,Maseca,397.67,166
S023,Detergente 565,5MY2Q8U1DP5A,Carnes,2026-07-27,Bimbo,216.66,170
S027,Carne 45,887V05QB14,Panaderia,2027-11-02,PepsiCo,464.98,123
S001,Zanahoria 62,H8QVBE5FCWX5,Higiene,2025-10-21,Nestle,48.27,56
S021,Leche 185,TJP33VZUB8E1S,Carnes,2026-12-22,Bimbo,455.82,86
S028,Tortilla 466,OU0A9QAVPNUDX,Verduras,2027-12-09,Lala,213.89,43
S027,Naranja 638,MFVP3AUBSO,Limpieza,2025-01-10,Unilever,145.0,96
S025,Helado 860,N9ETEZFN5JOE,Congelados,2026-06-13,Colgate,313.44,187
S021,Tortilla 651,EAFU3YMJ6B82G,Bebidas,2027-10-15,PepsiCo,457.98,175
S015,Naranja 90,DF0VRB3ZANVL,Limpieza,2025-03-23,Bimbo,142.15,54
S014,Zanahoria 964,GOHGLYM7MY,Verduras,2026-09-14,Bimbo,143.41,152
S014,Detergente 688,TBL87RAEFRH,Lacteos,2025-08-06,Maseca,35.36,159
S013,Helado 556,9A6IXDI3Y57,Congelados,2026-10-06,Kelloggs,316.04,90
S014,Papas 579,VFUNV9Z3XJC,Higiene,2025-06-01,Colgate,50.9,44
S023,Pan 459,M209BDMK7Q6YZ,Frutas,2025-07-06,Bimbo,154.61,64
S006,Papas 234,CQW3D4HU9QMV,Bebidas,2025-06-19,Kelloggs,453.5,35
S022,Detergente 64,CJSWYGK44S4XG,Frutas,2025-06-05,Sabritas,380.86,188
S020,Yogurt 304,7U8NFL3B9YJAC,Bebidas,2027-09-16,Maseca,361.38,76
S020,Tortilla 106,5SV470B90ADDF,Lacteos,2027-03-13,Colgate,82.75,26
S007,Helado 425,Y2X98LBDB42,Higiene,2027-06-12,PepsiCo,223.79,109
S016,Jugo 693,B3XT7QKHLVT,Verduras,2027-10-17,Nestle,133.6,110
S009,Brocoli 413,DF62VUB6W4,Limpieza,2027-12-17,Sabritas,25.11,70
S007,Acondicionador 54,VIOGW7UQGMYW,Congelados,2026-06-15,Bimbo,465.19,53
S008,Carne 755,BLU6HF4NAQZ,Verduras,2027-01-22,Kelloggs,352.86,186
S027,Refresco 215,EI0WWFJRK7,Frutas,2025-06-10,Bimbo,387.38,102
S021,Pan 363,4FTBA16RMX7,Congelados,2026-05-17,Nestle,13.64,180
S005,Zanahoria 940,GJQS1YFLXM,Panaderia,2026-05-05,Unilever,104.83,153
S013,Carne 592,JO776QIJPQFPH,Verduras,2027-09-12,CocaCola,419.41,197
S002,Yogurt 667,LJHZV9BH0K9,Bebidas,2026-06-02,Nestle,194.61,122
S008,Naranja 101,Q8N7T6DS2W,Congelados,2026-08-08,Bimbo,307.17,72
S015,Naranja 252,9ZH9NPTN1KEB8,Verduras,2026-12-09,Kelloggs,24.52,138
S018,Brocoli 212,18FUWYHXK2Z,Lacteos,2025-09-19,Colgate,340.7,190
S015,Papas 394,GAOD0R3UPWAO,Verduras,2027-07-14,Maseca,463.36,183
S005,Carne 316,LX46AODQTKU3,Higiene,2027-04-12,Bimbo,53.87,153
S005,Yogurt 576,694O76L8SG6E0,Limpieza,2026-07-07,Maseca,295.45,68
S016,Jabon 249,5N2HN519WBWK,Verduras,2025-03-13,Kelloggs,398.74,49
S018,Carne 307,GPGHZBPM80,Frutas,2027-12-04,CocaCola,450.0,140
S003,Zanahoria 517,GEBA11ARIJ,Snacks,2026-04-28,Nestle,257.22,81
S025,Refresco 638,2GD9XKOBTWO1,Limpieza,2026-01-26,Maseca,168.05,189
S022,Brocoli 764,F0MA6FU0NYP71,Bebidas,2025-03-26,Colgate,343.08,164
S012,Brocoli 295,BVAIWSEPEB,Frutas,2026-02-17,CocaCola,43.48,118
S017,Acondicionador 819,YD5MVNHXGU1,Snacks,2026-09-28,Maseca,281.31,94
S012,Manzana 506,OCOBD08DIAP,Verduras,2025-04-24,Nestle,304.29,78
S025,Yogurt 238,BG6GO42RWL03,Limpieza,2026-02-01,Colgate,96.77,53
